Country_Name,Iso3,Democracy_Index (2022)
Afghanistan,AFG,0.32
Albania,ALB,6.41
Algeria,DZA,3.66
Angola,AGO,3.96
Argentina,ARG,6.85
Armenia,ARM,5.63
Australia,AUS,8.71
Austria,AUT,8.2
Azerbaijan,AZE,2.87
Bahrain,BHR,2.52
Bangladesh,BGD,5.99
Belarus,BLR,1.99
Belgium,BEL,7.64
Benin,BEN,4.28
Bhutan,BTN,5.54
Bolivia,BOL,4.51
Bosnia and Herzegovina,BIH,5
Botswana,BWA,7.73
Brazil,BRA,6.78
Bulgaria,BGR,6.53
Burkina Faso,BFA,3.08
Burundi,BDI,2.13
Cambodia,KHM,3.18
Cameroon,CMR,2.56
Canada,CAN,8.88
Cape Verde,CPV,7.65
Central African Republic,CAF,1.35
Chad,TCD,1.67
Chile,CHL,8.22
China,CHN,1.94
Colombia,COL,6.72
Comoros,COM,3.2
Congo,COG,2.79
Costa Rica,CRI,8.29
Cote d'Ivoire,CIV,4.22
Croatia,HRV,6.5
Cuba,CUB,2.65
Cyprus,CYP,7.38
Czechia,CZE,7.97
Democratic Republic of Congo,COD,1.48
Denmark,DNK,9.28
Djibouti,DJI,2.74
Dominican Republic,DOM,6.39
East Timor,TLS,7.06
Ecuador,ECU,5.69
Egypt,EGY,2.93
El Salvador,SLV,5.06
Equatorial Guinea,GNQ,1.92
Eritrea,ERI,2.03
Estonia,EST,7.96
Eswatini,SWZ,3.01
Ethiopia,ETH,3.17
Fiji,FJI,5.55
Finland,FIN,9.29
France,FRA,8.07
Gabon,GAB,3.4
Gambia,GMB,4.47
Georgia,GEO,5.2
Germany,DEU,8.8
Ghana,GHA,6.43
Greece,GRC,7.97
Guatemala,GTM,4.68
Guinea,GIN,2.32
Guinea-Bissau,GNB,2.56
Guyana,GUY,6.34
Haiti,HTI,2.81
Honduras,HND,5.15
Hong Kong,HKG,5.28
Hungary,HUN,6.64
Iceland,ISL,9.52
India,IND,7.04
Indonesia,IDN,6.71
Iran,IRN,1.96
Iraq,IRQ,3.13
Ireland,IRL,9.13
Israel,ISR,7.93
Italy,ITA,7.69
Jamaica,JAM,7.13
Japan,JPN,8.33
Jordan,JOR,3.17
Kazakhstan,KAZ,3.08
Kenya,KEN,5.05
Kuwait,KWT,3.83
Kyrgyzstan,KGZ,3.62
Laos,LAO,1.77
Latvia,LVA,7.37
Lebanon,LBN,3.64
Lesotho,LSO,6.19
Liberia,LBR,5.43
Libya,LBY,2.06
Lithuania,LTU,7.31
Luxembourg,LUX,8.81
Madagascar,MDG,5.7
Malawi,MWI,5.91
Malaysia,MYS,7.3
Mali,MLI,3.23
Malta,MLT,7.7
Mauritania,MRT,4.03
Mauritius,MUS,8.14
Mexico,MEX,5.25
Moldova,MDA,6.23
Mongolia,MNG,6.35
Montenegro,MNE,6.45
Morocco,MAR,5.04
Mozambique,MOZ,3.51
Myanmar,MMR,0.74
Namibia,NAM,6.52
Nepal,NPL,4.49
Netherlands,NLD,9
New Zealand,NZL,9.61
Nicaragua,NIC,2.5
Niger,NER,3.73
Nigeria,NGA,4.23
North Korea,PRK,1.08
North Macedonia,MKD,6.1
Norway,NOR,9.81
Oman,OMN,3.12
Pakistan,PAK,4.13
Palestine,PSE,3.86
Panama,PAN,6.91
Papua New Guinea,PNG,5.97
Paraguay,PRY,5.89
Peru,PER,5.92
Philippines,PHL,6.73
Poland,POL,7.04
Portugal,PRT,7.95
Qatar,QAT,3.65
Romania,ROU,6.45
Russia,RUS,2.28
Rwanda,RWA,3.1
Saudi Arabia,SAU,2.08
Senegal,SEN,5.72
Serbia,SRB,6.33
Sierra Leone,SLE,5.03
Singapore,SGP,6.22
Slovakia,SVK,7.07
Slovenia,SVN,7.75
South Africa,ZAF,7.05
South Korea,KOR,8.03
Spain,ESP,8.07
Sri Lanka,LKA,6.47
Sudan,SDN,2.47
Suriname,SUR,6.95
Sweden,SWE,9.39
Switzerland,CHE,9.14
Syria,SYR,1.43
Taiwan,TWN,8.99
Tajikistan,TJK,1.94
Tanzania,TZA,5.1
Thailand,THA,6.67
Togo,TGO,2.99
Trinidad and Tobago,TTO,7.16
Tunisia,TUN,5.51
Turkey,TUR,4.35
Turkmenistan,TKM,1.66
Uganda,UGA,4.55
Ukraine,UKR,5.42
United Arab Emirates,ARE,2.9
United Kingdom,GBR,8.28
United States,USA,7.85
Uruguay,URY,8.91
Uzbekistan,UZB,2.12
Venezuela,VEN,2.23
Vietnam,VNM,2.73
World,OWID_WRL,5.293173652694613
Yemen,YEM,1.95
Zambia,ZMB,5.8
Zimbabwe,ZWE,2.92
