Country,Events Per Year (2022) 
Albania,6
Algeria,22
American Samoa,0
Andorra,0
Angola,66
Anguilla,0
Antarctica,0
Antigua and Barbuda,0
Argentina,65
Armenia,146
Aruba,0
Australia,5
Austria,4
Azerbaijan,386
Bahamas,1
Bahrain,9
Bailiwick of Guernsey,0
Bailiwick of Jersey,0
Bangladesh,877
Barbados,0
Belarus,46
Belgium,15
Belize,76
Benin,181
Bermuda,0
Bhutan,2
Bolivia,63
Bosnia and Herzegovina,7
Botswana,7
Brazil,9187
British Indian Ocean Territory,0
British Virgin Islands,0
Brunei,0
Bulgaria,2
Cambodia,6
Canada,10
Cape Verde,3
Caribbean Netherlands,0
Cayman Islands,0
Chile,208
China,199
Christmas Island,0
Cocos (Keeling) Islands,0
Comoros,12
Cook Islands,0
Costa Rica,12
Croatia,0
Cuba,77
Curacao,1
Cyprus,33
Czech Republic,2
Denmark,2
Djibouti,4
Dominica,0
Dominican Republic,45
East Timor,3
Ecuador,76
Egypt,192
El Salvador,282
Equatorial Guinea,1
Eritrea,4
Estonia,0
eSwatini,120
Falkland Islands,0
Faroe Islands,0
Fiji,2
Finland,2
France,143
French Guiana,0
French Polynesia,0
Gabon,5
Gambia,6
Georgia,13
Germany,17
Ghana,198
Gibraltar,0
Greece,114
Greenland,0
Grenada,0
Guadeloupe,1
Guam,0
Guatemala,805
Guinea,56
Guinea-Bissau,13
Guyana,9
Heard Island and McDonald Islands,0
Honduras,610
Hungary,3
Iceland,0
India,2343
Indonesia,199
Iran,282
Iraq,5724
Ireland,2
Isle of Man,0
Israel,117
Italy,51
Ivory Coast,63
Jamaica,370
Japan,1
Jordan,12
Kazakhstan,146
Kenya,991
Kiribati,0
Kosovo,23
Kuwait,0
Kyrgyzstan,61
Laos,0
Latvia,0
Lebanon,260
Lesotho,15
Liberia,28
Libya,115
Liechtenstein,0
Lithuania,0
Luxembourg,0
Madagascar,227
Malawi,86
Malaysia,7
Maldives,1
Malta,1
Marshall Islands,0
Martinique,0
Mauritania,7
Mauritius,31
Mayotte,25
Mexico,7149
Micronesia,0
Moldova,13
Monaco,0
Mongolia,0
Montenegro,2
Montserrat,0
Morocco,84
Namibia,11
Nauru,0
Nepal,415
Netherlands,9
New Caledonia,0
New Zealand,0
Nicaragua,13
Niue,0
Norfolk Island,0
North Korea,18
North Macedonia,1
Northern Mariana Islands,0
Norway,2
Oman,1
Pakistan,1210
Palau,0
Panama,8
Papua New Guinea,145
Paraguay,72
Peru,132
Philippines,832
Pitcairn,0
Poland,80
Portugal,0
Puerto Rico,245
Qatar,0
Republic of Congo,12
Reunion,10
Romania,6
Russia,422
Rwanda,23
"Saint Helena, Ascension and Tristan da Cunha",0
Saint Kitts and Nevis,0
Saint Lucia,1
Saint Pierre and Miquelon,0
Saint Vincent and the Grenadines,0
Saint-Barthelemy,0
Saint-Martin,0
Samoa,0
San Marino,0
Sao Tome and Principe,2
Saudi Arabia,40
Senegal,64
Serbia,8
Seychelles,0
Sierra Leone,20
Singapore,0
Sint Maarten,2
Slovakia,3
Slovenia,1
Solomon Islands,4
South Africa,420
South Georgia and the South Sandwich Islands,0
South Korea,4
Spain,13
Sri Lanka,27
Suriname,5
Sweden,5
Switzerland,2
Taiwan,8
Tajikistan,25
Tanzania,39
Thailand,110
Togo,36
Tokelau,0
Tonga,0
Trinidad and Tobago,337
Tunisia,8
Turkey,365
Turkmenistan,0
Turks and Caicos Islands,0
Tuvalu,0
Uganda,430
United Arab Emirates,8
United Kingdom,23
United States,190
United States Minor Outlying Islands,0
Uruguay,4
Uzbekistan,43
Vanuatu,1
Vatican City,0
Vietnam,0
"Virgin Islands, U.S.",0
Wallis and Futuna,0
Zambia,38
Zimbabwe,141
