ISO_Code,Name,Official Name,UN Country Code,Population MM,GDP B Dollars,GNI B PPP,GDP per Capita,Gini Index,Primary Energy Quads,MM BTU per Capita,Teen Birth Rate,Percent Female Legislators,Infant Mortality,Human Development Index,Corruption Perceptions Index,Happiness Index,Happy Planet Index,Freedom Score,Freedom Status,Economic Freedom Index,STC Health Index,Prosperity Index,Colonial End,Colonial Years,Colonial Transformation
ABW,Aruba,,,0.106766,,,,,,,19.6732,,,,,,,,,,,,,,
AFG,Afghanistan,,,38.928341,20.11613733,81.64692647,2077.874554,,,,61.325,27.86885246,46.5,0.511,16,2.523,29.4,27,Not Free,53,0.08,33.7,1919,39,28
AGO,Angola,the Republic of Angola,24,32.866268,58.37597629,193.8966638,6443.03268,51.3,,21.61184547,145.39,30,50.2,0.581,29,,,31,Not Free,54.2,0,39.1,1975,469,88
AIA,Anguilla,,,,,,,,,,,,,,,,,,,,,,,,
ALA,Åland,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,the Republic of Albania,8,2.837743,14.88762927,38.78146263,13899.93398,33.2,,32.08211477,19.5028,29.50819672,8.6,0.795,35,5.117,51,66,Partly Free,65.2,0.76,59.5,,,
AND,Andorra,the Principality of Andorra,20,0.077265,3.155065488,,,,,,,46.42857143,2.8,0.868,,,,93,Free,,0.88,,,,
ARE,United Arab Emirates,the United Arab Emirates,784,9.8904,358.8687652,659.2993985,66746.63494,26,3.97,303.5127517,5.2276,50,6.4,0.89,69,6.561,34.3,17,Not Free,76.9,0.87,67.3,1971,121,22
ARG,Argentina,the Argentine Republic,32,45.376763,389.2880563,917.4756461,20762.99168,42.9,2.99,80.55383347,62.3488,40.15748031,8.2,0.845,38,5.929,50,84,Free,52.7,0.83,61.2,,,
ARM,Armenia,the Republic of Armenia,51,2.963234,12.6412098,38.82046127,13307.15661,29.9,,40.31455519,20.282,23.48484848,10.5,0.776,49,5.283,54.7,55,Partly Free,71.9,0.72,61.9,,,
ASM,American Samoa,,,0.055197,0.709,,,,,,,,,,,,,,,,,,,,
ATG,Antigua and Barb.,Antigua and Barbuda,28,0.097928,1.370281481,1.753551274,18235.07517,,,,40.88,11.11111111,5.8,0.778,,,,85,Free,,0.89,,,,
AUS,Australia,Australia,36,25.687041,1327.836171,1318.414721,52397.38705,,5.28,217.615383,10.9366,30.46357616,3.1,0.944,73,7.183,43.1,97,Free,82.4,0.94,78.8,,,
AUT,Austria,the Republic of Austria,40,8.917205,433.2584677,495.6739983,55648.87456,30.8,1.31,150.808042,6.7488,39.3442623,2.8,0.922,74,7.268,46.8,93,Free,73.9,0.9,79.7,,,
AZE,Azerbaijan,the Republic of Azerbaijan,31,10.093121,42.60717647,145.2305719,14474.31336,,0.59,59.60726837,57.1572,16.80672269,18.2,0.756,30,5.171,48,10,Not Free,70.1,0.72,56.6,,,
BDI,Burundi,the Republic of Burundi,108,11.890781,2.841786382,9.213232729,770.8760716,,,,53.9132,36.36363636,39.9,0.433,19,3.775,37.7,14,Not Free,49.9,0,38.5,1962,65,65
BEL,Belgium,the Kingdom of Belgium,56,11.555997,521.8612926,614.5896337,52626.58164,27.2,2.08,186.026391,4.4898,42,2.7,0.931,73,6.834,42.5,96,Free,70.1,0.89,76.3,,,
BEN,Benin,the Republic of Benin,204,12.123198,15.65154533,42.03950931,3504.118981,,,16.53958551,81.9768,7.228915663,59,0.545,42,5.045,41.4,65,Partly Free,59.6,0.18,48.6,1960,82,56
BFA,Burkina Faso,Burkina Faso,854,20.903278,17.93360635,44.15496334,2273.170019,,,,99.8026,13.38582677,53.9,0.452,42,4.834,41.5,54,Partly Free,56.5,0.27,45.2,1960,64,49
BGD,Bangladesh,the People's Republic of Bangladesh,50,164.689383,323.056958,887.3169638,5136.739645,32.4,1.51,9.097395042,81.6636,20.63037249,25.6,0.632,26,5.025,54.5,39,Partly Free,56.5,0.5,47.3,1947,190,40
BGR,Bulgaria,the Republic of Bulgaria,100,6.934015,69.88934743,167.4670224,24619.95089,41.3,0.65,98.3212948,38.7932,25.83333333,5.6,0.816,42,5.266,40.1,78,Free,70.4,0.69,65.4,,,
BHR,Bahrain,the Kingdom of Bahrain,48,1.701583,34.72922872,69.15664171,43739.56152,,,420.505656,13.11,15,5.9,0.852,42,6.647,33.6,12,Not Free,69.9,0.87,61.3,1971,111,24
BHS,Bahamas,the Commonwealth of the Bahamas,44,0.393248,9.9075,12.10338109,32526.45224,,,,28.4498,12.82051282,10.9,0.814,64,,,91,Free,64.6,0.81,,,,
BIH,Bosnia and Herz.,Bosnia and Herzegovina,70,3.280815,19.94649656,51.17075858,15732.83572,,,89.16491177,8.656,21.42857143,5.1,0.78,35,5.813,47.8,53,Partly Free,62.9,0.69,58,,,
BLM,St-Barthélemy,,,,,,,,,,,,,,,,,,,,,,,,
BLR,Belarus,the Republic of Belarus,112,9.379952,60.25823906,181.8740268,20231.66501,25.3,0.93,116.5327941,12.9962,40,2.4,0.823,41,5.534,42.9,11,Not Free,61,0.76,60.1,,,
BLZ,Belize,Belize,84,0.397621,1.636280797,2.474734988,6455.231821,,,,67.611,9.375,10.6,0.716,,,,87,Free,57.5,0.72,55.1,,,
BMU,Bermuda,,,0.063903,6.8427,5.313778353,80799.51694,,,,,,,,,,,,,,,,,,
BOL,Bolivia,the Plurinational State of Bolivia,68,11.673029,36.57276486,95.41267524,8272.409814,41.6,,30.88022632,62.9084,53.07692308,21.2,0.718,30,5.716,45,66,Partly Free,42.7,0.41,52.2,,,
BRA,Brazil,the Federative Republic of Brazil,76,212.559409,1444.733259,3091.872015,14829.89042,53.4,11.38,59.3478582,56.6606,15.00974659,12.4,0.765,38,6.33,54.6,74,Free,53.4,0.84,59.6,,,
BRB,Barbados,Barbados,52,0.287371,4.418,3.675483823,13344.59918,,,,28.7104,20,11.7,0.814,65,,,95,Free,65,0.86,,,,
BRN,Brunei,Brunei Darussalam,96,0.437483,12.00582577,29.55842644,65588.26877,,,344.1683656,9.1512,9.090909091,9.6,0.838,,,,28,Not Free,66.6,0.89,,1984,96,
BTN,Bhutan,the Kingdom of Bhutan,64,0.771612,2.315437338,8.055344373,11126.07149,37.4,,,17.606,14.89361702,23.8,0.654,68,,36.7,61,Partly Free,58.3,0.62,,1949,83,17
BWA,Botswana,the Republic of Botswana,72,2.351625,15.0619228,36.41676945,15452.72611,,,51.61330234,44.655,10.76923077,32.3,0.735,55,3.467,31.9,72,Free,67.6,0.66,57.1,1966,81,43
CAF,Central African Rep.,the Central African Republic,140,4.829764,2.380087758,4.921976346,987.276727,,,,124.8532,8.571428571,81,0.397,24,,25.2,9,Not Free,48.8,0,32.2,1960,70,73
CAN,Canada,Canada,124,38.005238,1644.037286,1808.129472,48090.99217,33.3,12.92,302.8360538,7.6822,28.99408284,4.2,0.929,74,7.103,40.2,98,Free,77.9,0.92,79,,,
CHE,Switzerland,the Swiss Confederation,756,8.636896,752.2480457,597.5741491,71760.58621,33.1,1.02,117.4651843,2.5246,41.5,3.6,0.955,84,7.571,60.1,96,Free,81.9,0.93,82.9,,,
CHL,Chile,the Republic of Chile,152,19.116209,252.940023,458.4826408,25067.6916,44.4,1.53,79.58667063,39.2248,22.58064516,6,0.851,67,6.172,45.6,93,Free,75.2,0.85,69,,,
CHN,China,the People's Republic of China,156,1410.929362,14722.7307,24102.01866,17204.35583,38.5,137.88,88.26952031,7.651,24.94117647,6.8,0.761,45,5.339,41.9,9,Not Free,58.4,0.58,62.2,1949,107,42
CIV,Côte d'Ivoire,the Republic of Côte d'Ivoire,384,26.378275,61.34857947,139.7075013,5463.479259,,,24.31153357,114.6898,10.98039216,58.6,0.538,36,,39.6,44,Partly Free,61.7,0.02,48.5,1960,121,79
CMR,Cameroon,the Republic of Cameroon,120,26.545864,40.80444973,100.4042399,3866.079027,,,13.3018714,101.1876,31.11111111,50.2,0.563,27,5.142,39.9,16,Not Free,53.4,0.01,41.8,1960,115,74
COD,Dem. Rep. Congo,the Democratic Republic of the Congo,180,89.561404,48.71696086,99.55392392,1141.393934,,,15.44993699,120.9912,10,66.1,0.48,19,,40.5,20,Not Free,49,0,35.1,,,
COD,Dem. Rep. Congo,the Democratic Republic of the Congo,180,89.561404,48.71696086,99.55392392,1141.393934,,,15.44993699,120.9912,10,66.1,0.48,19,,40.5,20,Not Free,49,0,35.1,,,
COG,Congo,the Republic of the Congo,178,5.518092,10.18712234,16.86644943,3620.968297,,,22.01661482,109.6422,11.25827815,34.9,0.574,21,5.342,47.2,,,50.7,0.22,41,1960,80,71
COK,Cook Is.,the Cook Islands ,184,,,,,,,,,,,,,,,,,,0.88,,,,
COL,Colombia,the Republic of Colombia,170,50.882884,271.4375963,726.781261,14570.23674,51.3,1.68,28.73342571,64.313,18.71345029,11.8,0.767,39,6.012,60.2,65,Partly Free,68.1,0.79,58,,,
COM,Comoros,the Union of the Comoros,174,0.869595,1.235400352,2.72292462,3151.957145,,,,62.7702,6.060606061,48.3,0.554,20,4.289,42.4,42,Partly Free,55.7,0.2,46.5,,,
CPV,Cabo Verde,the Republic of Cabo Verde,132,0.555988,1.703698677,3.456729626,6374.267776,,,,71.6302,23.61111111,12.8,0.665,58,,,92,Free,63.8,0.67,57.4,,,
CRI,Costa Rica,the Republic of Costa Rica,188,5.094114,61.84689512,101.5022103,21143.34282,48.2,,40.59631934,51.5772,45.61403509,7.5,0.81,58,7.069,62.1,91,Free,64.2,0.85,68.7,,,
CUB,Cuba,the Republic of Cuba,192,11.326616,107.352,,,,,41.05962885,51.4392,53.2231405,3.8,0.783,46,,,13,Not Free,28.1,0.85,53.6,,,
CUW,Curaçao,,,0.155014,2.595821709,3.441337551,21405.85052,,,502.0266249,27.2864,,,,,,,,,,,,,,
CYM,Cayman Is.,,,0.06572,5.591623665,3.557308955,71567.38081,,,,,,,,,,,,,,,,,,
CYP,Cyprus,the Republic of Cyprus,196,1.207361,24.61264649,33.43903727,38458.19126,32.7,0.09,67.94327031,4.3352,17.85714286,1.8,0.887,53,6.223,49.4,94,Free,71.4,0.9,70.8,,,
CZE,Czechia,the Czech Republic,203,10.698896,245.34949,434.1972573,42049.18595,25,1.46,153.1772696,11.8908,22.5,2.5,0.9,54,6.965,46.8,91,Free,73.8,0.87,74.6,,,
DEU,Germany,the Federal Republic of Germany,276,83.240525,3846.413929,4642.648761,54263.64961,31.9,11.48,151.4925769,7.6186,30.88857546,3.2,0.947,80,7.155,52.7,94,Free,72.5,0.92,80.6,,,
DJI,Djibouti,the Republic of Djibouti,262,0.988002,3.384385217,5.543964085,5779.60987,41.6,,,18.0458,26.15384615,48.4,0.524,30,,,24,Not Free,56.2,0.39,48.2,1977,115,59
DMA,Dominica,the Commonwealth of Dominica,212,0.071991,0.504214815,0.802433152,10849.18676,,,,,25,30.9,0.742,55,,,93,Free,53,0.56,,,,
DNK,Denmark,the Kingdom of Denmark,208,5.831404,356.0848677,365.0212545,60551.64017,28.2,0.56,111.7722791,4.215,39.10614525,3.2,0.94,88,7.62,45.3,97,Free,77.8,0.92,83.9,,,
DOM,Dominican Rep.,the Dominican Republic,214,10.847904,78.84470233,184.9686777,17928.97707,41.9,,29.83363524,91.8084,26.84210526,23.5,0.756,30,5.545,54.8,67,Partly Free,62.1,0.6,58.7,,,
DZA,Algeria,the People's Democratic Republic of Algeria,12,43.851043,145.0091815,486.3158536,11320.01882,,2.18,52.68085715,9.5966,25.75757576,20,0.748,33,4.887,46.5,32,Not Free,49.7,0.7,52.2,1962,132,81
ECU,Ecuador,the Republic of Ecuador,218,17.64306,98.80801,186.6701708,10891.71474,45.7,0.62,35.27698501,78.2642,37.95620438,12,0.759,36,5.764,58.8,67,Partly Free,52.4,0.78,56.8,,,
EGY,Egypt,the Arab Republic of Egypt,818,102.334403,365.2526513,1249.560604,12602.30927,31.5,3.46,32.83773049,52.353,14.93288591,17.3,0.707,33,4.283,43.2,18,Not Free,55.7,0.71,48.4,1956,80,57
ERI,Eritrea,the State of Eritrea,232,,,,,,,9.758876864,48.8526,22,30.5,0.459,22,,,2,Not Free,42.3,0.01,34.6,,,
ESH,W. Sahara,,,,,,,,,,,,,,,,,,,,,,,,
ESP,Spain,the Kingdom of Spain,724,47.351567,1281.48464,1826.277701,38343.15522,34.7,4.71,102.0390377,7.2558,44,2.6,0.904,61,6.491,52.3,90,Free,69.9,0.9,75.4,,,
EST,Estonia,the Republic of Estonia,233,1.331057,30.65028547,50.37828627,37925.1168,30.3,0.18,165.6109534,6.4996,29.7029703,1.9,0.892,74,6.189,34.4,94,Free,78.2,0.85,78.1,,,
ETH,Ethiopia,the Federal Democratic Republic of Ethiopia,231,114.963583,107.6450543,276.9239438,2421.909863,,,19.5689807,63.4226,38.75685558,36.5,0.485,39,4.275,41.7,22,Not Free,51.7,0.27,42.8,1950,15,61
FIN,Finland,the Republic of Finland,246,5.530719,269.7513129,285.8212072,50810.52741,27.3,1.04,235.11106,5.5046,47,1.9,0.938,88,7.842,51.3,10,0 Free,76.1,0.93,83,,,
FJI,Fiji,the Republic of Fiji,242,0.896444,4.533883782,10.15833829,12074.34523,,,,48.9282,19.60784314,21.7,0.743,55,,,60,Partly Free,62.2,0.75,,1970,96,62
FLK,Falkland Is.,,,,,,,,,,,,,,,,,,,,,,,,
FRO,Faeroe Is.,the Faroe Islands,234,0.048865,3.12629322,,,,,,,,,,,,,,,,,,,,
FSM,Micronesia,the Federated States of Micronesia,583,0.115021,0.4100836,0.454780669,3551.992816,,,,12.5308,0,24.5,0.62,,,,92,Free,50.4,0.52,,,,
GAB,Gabon,the Gabonese Republic,266,2.225728,15.31682619,31.82511481,15100.74097,38,,106.9147164,90.9018,17.91044776,31.1,0.703,31,4.852,39.9,22,Not Free,58.1,0.5,47.5,1960,108,59
GBR,United Kingdom,the United Kingdom of Great Britain and Northern Ireland,826,67.215293,2764.197654,3036.262327,45852.68889,35.1,6.53,109.704868,11.912,32,3.7,0.932,78,7.064,56,93,Free,78.4,0.89,79.6,,,
GEO,Georgia,Georgia,268,3.714,15.84648961,52.26824548,14761.47707,35.9,,46.8369997,43.9616,14.76510067,8.5,0.812,55,4.891,44.3,60,Partly Free,77.2,0.7,62.3,,,
GGY,Guernsey,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,the Republic of Ghana,288,31.072945,68.53228181,184.2733178,5742.293195,43.5,,13.16796227,64.9574,13.09090909,33.9,0.611,43,5.088,39.5,82,Free,59.2,0.34,54,1957,113,75
GIB,Gibraltar,,,0.033691,,,,,,230.6499223,,,,,,,,,,,,,,,
GIN,Guinea,the Republic of Guinea,324,13.132792,15.68105092,33.82263072,2816.273247,,,,131.436,22.80701754,63.8,0.477,25,4.984,38.1,38,Partly Free,56.5,0,43.9,1958,77,57
GMB,Gambia,the Republic of the Gambia,270,2.416664,1.868086275,5.404900493,2274.20905,,,,73.2266,10.34482759,35.9,0.496,37,5.051,,46,Partly Free,58.8,0,50.1,1965,304,53
GNB,Guinea-Bissau,the Republic of Guinea-Bissau,624,1.967998,1.431758243,3.899405794,1948.076635,,,,101.6274,13.7254902,52.3,0.48,21,,,44,Partly Free,54.9,0,41.7,1974,96,82
GNQ,Eq. Guinea,the Republic of Equatorial Guinea,226,1.402985,10.02185675,18.71536726,17933.83998,,,,151.2828,21,60.4,0.592,17,,,5,Not Free,49.2,0.2,46.3,1968,190,72
GRC,Greece,the Hellenic Republic,300,10.715549,188.8352016,302.780982,28377.39427,32.9,0.95,86.59156362,6.6522,20.66666667,3.3,0.888,49,5.723,48.8,87,Free,60.9,0.86,67,,,
GRD,Grenada,Grenada,308,0.112519,1.042100556,1.737323134,15277.56024,,,,27.2106,46.66666667,14.7,0.779,53,,,89,Free,,0.63,,,,
GRL,Greenland,,,0.056367,2.982247279,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,the Republic of Guatemala,320,16.858333,77.60463217,146.5503714,8850.373033,,,34.26917874,68.582,19.375,20.7,0.663,25,6.435,57.9,52,Partly Free,64,0.6,53.3,,,
GUM,Guam,,,0.168783,5.844,,,,,,29.5002,,,,,,,,,,,,,,
GUY,Guyana,the Co-operative Republic of Guyana,328,0.786559,5.471256595,13.05595708,19697.24379,,,,71.3544,31.88405797,24.4,0.682,39,,,73,Free,57.4,0.56,55.7,,,
HKG,Hong Kong,,,7.4818,346.5858815,467.4692984,59212.0506,,0.88,78.19511573,2.5874,,,0.949,76,5.477,33.9,,,,0.99,77.9,1997,155,
