Country,Case fatality,Deaths per 100k,Iso
Peru,4.90%,665.84,PER
Bulgaria,2.90%,550.17,BGR
Hungary,2.20%,504.76,HUN
Bosnia and Herzegovina,4.10%,496.22,BIH
North Macedonia,2.80%,463.77,MKD
Montenegro,1.00%,447.09,MNE
Croatia,1.40%,438.14,HRV
Georgia,0.90%,425.43,GEO
Czechia,0.90%,396.78,CZE
Slovakia,0.80%,387.05,SVK
San Marino,0.50%,359.48,SMR
Lithuania,0.70%,352.5,LTU
Romania,2.00%,352.1,ROU
US,1.10%,341.11,USA
Slovenia,0.50%,340.46,SVN
Chile,1.20%,336.22,CHL
Greece,0.60%,333.67,GRC
Latvia,0.60%,332.36,LVA
Brazil,1.90%,328.98,BRA
United Kingdom,0.90%,325.13,GBR
Poland,1.80%,314.45,POL
Italy,0.70%,311.47,ITA
Trinidad and Tobago,2.30%,311.18,TTO
Moldova,2.00%,298.01,MDA
Armenia,2.00%,294.51,ARM
Belgium,0.70%,294.22,BEL
Argentina,1.30%,288.68,ARG
Colombia,2.20%,279.74,COL
Paraguay,2.50%,278.69,PRY
Ukraine,2.10%,272.75,UKR
Russia,1.80%,266.2,RUS
Mexico,4.50%,260.73,MEX
Portugal,0.50%,257.59,PRT
Spain,0.90%,255.54,ESP
France,0.40%,254.68,FRA
Tunisia,2.50%,248.26,TUN
Austria,0.40%,243.94,AUT
Suriname,1.70%,239.33,SUR
Sweden,0.90%,235.43,SWE
Liechtenstein,0.40%,233.37,LIE
Saint Lucia,1.40%,222.73,LCA
Estonia,0.50%,222.08,EST
Uruguay,0.70%,219.27,URY
Andorra,0.30%,213.55,AND
Bahamas,2.20%,211.83,BHS
Grenada,1.20%,211.52,GRD
Serbia,0.70%,204.65,SRB
Ecuador,3.40%,204.13,ECU
Germany,0.40%,203.16,DEU
Barbados,0.50%,201.48,BRB
Panama,0.80%,199.52,PAN
Luxembourg,0.40%,194.9,LUX
Bolivia,1.90%,191.6,BOL
Malta,0.70%,187.53,MLT
Costa Rica,0.80%,181.48,CRI
Kosovo,1.20%,177.37,XKX
Ireland,0.50%,176.35,IRL
Seychelles,0.30%,174.9,SYC
Belize,1.00%,173.03,BLZ
South Africa,2.50%,172.98,ZAF
Iran,1.90%,172.55,IRN
Monaco,0.40%,170.73,MCO
Guyana,1.80%,165.02,GUY
Switzerland,0.30%,164.19,CHE
Finland,0.60%,161.84,FIN
Namibia,2.40%,160.97,NAM
Lebanon,0.90%,158.83,LBN
Antigua and Barbuda,1.60%,149.09,ATG
Denmark,0.20%,142.96,DNK
Israel,0.30%,142.44,ISR
Jordan,0.80%,138.41,JOR
Netherlands,0.30%,138.34,NLD
Canada,1.10%,135.23,CAN
Albania,1.10%,125.03,ALB
Eswatini,1.90%,122.83,SWZ
Turkey,0.60%,120.34,TUR
Botswana,0.80%,119.11,BWA
Jamaica,2.30%,118.67,JAM
Malaysia,0.70%,114.22,MYS
Guatemala,1.60%,112.65,GTM
Honduras,2.40%,112.18,HND
West Bank and Gaza,0.80%,111.89,PSE
Saint Vincent and the Grenadines,1.30%,110.86,VCT
Cyprus,0.20%,110.16,CYP
Dominica,0.50%,102.79,DMA
Kazakhstan,1.30%,101.57,KAZ
Azerbaijan,1.20%,99.99,AZE
Fiji,1.30%,98.5,FJI
Norway,0.40%,96.16,NOR
Libya,1.30%,93.68,LBY
