Iso3,IndicatorScore,Change in Inform Risk (2015-2022)
AFG,8,0
AGO,5,11.11111111
ARE,1.6,-5.882352941
ARG,2.9,16
ARM,3.2,6.666666667
ATG,2.1,-8.695652174
AUS,2.4,14.28571429
AUT,1.8,12.5
BDI,5.6,5.660377358
BEN,4.1,2.5
BFA,6.9,68.29268293
BGD,5.6,-5.084745763
BGR,2.5,4.166666667
BHR,1.4,-12.5
BLR,1.6,0
BOL,3.6,0
BRA,4.5,18.42105263
BRB,2,0
BRN,2.4,0
BTN,2.7,-10
BWA,2.7,-3.571428571
CAN,2.4,0
CHE,1.4,7.692307692
CHL,3.2,28
CHN,3.8,-9.523809524
CIV,4.4,-6.382978723
CMR,6.5,20.37037037
COD,7.5,8.695652174
COL,5.2,-5.454545455
COM,3.4,3.03030303
CPV,2.2,0
CRI,3,7.142857143
CUB,2.2,-4.347826087
CZE,1.2,-20
DEU,2.4,20
DJI,4.8,0
DNK,1.4,7.692307692
DOM,4,-9.090909091
DZA,3.5,-20.45454545
ECU,4.5,12.5
EGY,4.8,-2.040816327
ESP,2.1,23.52941176
ETH,6.8,9.677419355
FIN,1.4,7.692307692
FJI,3,7.142857143
FRA,2.3,-4.166666667
FSM,3.2,3.225806452
GAB,3.3,-5.714285714
GBR,2,11.11111111
GEO,3.4,-2.857142857
GHA,3.4,-8.108108108
GIN,4.7,-6
GMB,3.5,-5.405405405
GNB,4,-2.43902439
GRC,2.6,4
GRD,2.2,10
GTM,4.9,0
HND,4.9,6.52173913
HRV,2.3,-8
HTI,6.3,6.779661017
HUN,1.7,-10.52631579
IDN,4.4,0
IND,5.2,-7.142857143
IRN,5.2,10.63829787
IRQ,6.7,-6.944444444
ITA,2.4,4.347826087
JAM,2.9,-9.375
JOR,3.8,-2.564102564
JPN,2.3,9.523809524
KAZ,2.2,-4.347826087
KEN,6.8,11.47540984
KGZ,2.9,-12.12121212
KHM,4.3,0
KNA,2,-4.761904762
KOR,1.9,5.555555556
LAO,3.5,-5.405405405
LBN,4,-18.36734694
LCA,2.7,8
LKA,3.2,-11.11111111
LSO,3.7,8.823529412
MAR,3.4,-2.857142857
MDA,2.6,-3.703703704
MDG,5.2,4
MDV,2.1,-12.5
MEX,4.8,2.127659574
MHL,3.9,-4.87804878
MKD,2.2,-8.333333333
MLI,6.9,4.545454545
MMR,6.9,2.985074627
MNE,2,-20
MNG,2.6,-7.142857143
MOZ,7.2,30.90909091
MRT,4.6,-2.127659574
MUS,1.9,-5
MWI,4.2,-2.325581395
MYS,3,-6.25
NAM,3.8,0
NER,6.6,20
NGA,6.5,-2.985074627
NIC,4.2,0
NLD,1.9,0
NOR,1.6,-5.882352941
NPL,4.1,-10.86956522
NRU,2.8,3.703703704
NZL,1.4,0
PAK,6,-11.76470588
PAN,3.5,6.060606061
PER,4.6,6.976744186
PHL,5.4,-1.818181818
PLW,2.7,17.39130435
PNG,5.8,11.53846154
POL,1.7,-10.52631579
PRT,1.6,6.666666667
PRY,2.6,-10.34482759
PSE,4.2,-25
QAT,1.4,-12.5
ROU,2.2,0
RWA,4.5,4.651162791
SDN,7,-1.408450704
SEN,4,-13.04347826
SGP,0.6,0
SLB,4.7,-2.083333333
SLE,4.2,-6.666666667
SLV,4,17.64705882
SRB,2.5,-19.35483871
SVK,1.6,6.666666667
SVN,1.2,-7.692307692
SWE,1.9,5.555555556
SWZ,3.2,10.34482759
SYC,1.5,-25
SYR,6.9,1.470588235
TGO,3.9,-4.87804878
THA,4.3,-2.272727273
TJK,4.1,5.128205128
TLS,3.8,-2.564102564
TON,3.3,3.125
TTO,2.7,28.57142857
TUN,2.9,-14.70588235
TUR,4.5,4.651162791
TZA,5.3,20.45454545
URY,1.9,18.75
USA,3.2,0
UZB,3.2,3.225806452
VEN,5.2,15.55555556
VNM,3.8,-2.564102564
VUT,4.2,-4.545454545
WSM,3,3.448275862
YEM,8.1,8
ZAF,5.2,40.54054054
ZMB,4,2.564102564
ZWE,4.3,7.5
ALB,2.9,-17.14285714
AZE,4.8,9.090909091
BEL,2,11.11111111
BHS,2.2,0
BIH,3.1,-3.125
CAF,8.5,0
COG,5.1,10.86956522
CYP,2.6,4
DMA,2.9,7.407407407
ERI,6.1,38.63636364
EST,1.5,-16.66666667
GNQ,3.1,0
GUY,3.7,8.823529412
IRL,1.4,0
ISL,1.3,8.333333333
ISR,2.7,22.72727273
KWT,2.5,-3.846153846
LBR,4.7,-6
LBY,5,-15.25423729
LTU,1.5,-6.25
LUX,1.1,22.22222222
LVA,2.4,-7.692307692
MLT,1.7,6.25
OMN,2.5,-3.846153846
PRK,4.5,7.142857143
RUS,3.7,-13.95348837
SAU,3.9,30
SOM,8.6,-3.370786517
SSD,8.6,4.87804878
STP,2.6,-7.142857143
SUR,3,0
TCD,7.7,13.23529412
TKM,2.9,-14.70588235
UGA,7,7.692307692
UKR,5,-1.960784314
VCT,2.9,38.0952381
BLZ,3.3,10
KIR,3.7,-5.128205128
LIE,0.9,0
TUV,2.7,3.846153846
