Corruption ISO3,Country or region,2012_corruption,2018,Absolute Change corruption,Relative Change Corruption
AFG,Afghanistan,8,16,8,100
ALB,Albania,33,36,3,9
DZA,Algeria,34,35,1,3
AGO,Angola,22,19,-3,-14
ARG,Argentina,35,40,5,14
ARM,Armenia,34,35,1,3
AUS,Australia,85,77,-8,-9
AUT,Austria,69,76,7,10
AZE,Azerbaijan,27,25,-2,-7
BHS,Bahamas,71,65,-6,-8
BHR,Bahrain,51,36,-15,-29
BGD,Bangladesh,26,26,0,0
BRB,Barbados,76,68,-8,-11
BLR,Belarus,31,44,13,42
BEL,Belgium,75,75,0,0
BEN,Benin,36,40,4,11
BTN,Bhutan,63,68,5,8
BOL,Bolivia,34,29,-5,-15
BIH,Bosnia and Herzegovina,42,38,-4,-10
BWA,Botswana,65,61,-4,-6
BRA,Brazil,43,35,-8,-19
BRN,Brunei,55,63,8,15
BGR,Bulgaria,41,42,1,2
BFA,Burkina Faso,38,41,3,8
BDI,Burundi,19,17,-2,-11
KHM,Cambodia,22,20,-2,-9
CMR,Cameroon,26,25,-1,-4
CAN,Canada,84,81,-3,-4
CPV,Cape Verde,60,57,-3,-5
CAF,Central African Republic,26,26,0,0
TCD,Chad,19,19,0,0
CHL,Chile,72,67,-5,-7
CHN,China,39,39,0,0
COL,Colombia,36,36,0,0
COM,Comoros,28,27,-1,-4
COG,Congo,26,19,-7,-27
CRI,Costa Rica,54,56,2,4
CIV,Cote d'Ivoire,29,35,6,21
HRV,Croatia,46,48,2,4
CUB,Cuba,48,47,-1,-2
CYP,Cyprus,66,59,-7,-11
CZE,Czechia,49,59,10,20
COD,Democratic Republic of Congo,21,20,-1,-5
DNK,Denmark,90,88,-2,-2
DJI,Djibouti,36,31,-5,-14
DMA,Dominica,58,57,-1,-2
DOM,Dominican Republic,32,30,-2,-6
TLS,East Timor,33,35,2,6
ECU,Ecuador,32,34,2,6
EGY,Egypt,32,35,3,9
SLV,El Salvador,38,35,-3,-8
GNQ,Equatorial Guinea,20,16,-4,-20
ERI,Eritrea,25,24,-1,-4
EST,Estonia,64,73,9,14
SWZ,Eswatini,37,38,1,3
ETH,Ethiopia,33,34,1,3
FIN,Finland,90,85,-5,-6
FRA,France,71,72,1,1
GAB,Gabon,35,31,-4,-11
GMB,Gambia,34,37,3,9
GEO,Georgia,52,58,6,12
DEU,Germany,79,80,1,1
GHA,Ghana,45,41,-4,-9
GRC,Greece,36,45,9,25
GRD,Grenada,56,52,-4,-7
GTM,Guatemala,33,27,-6,-18
GIN,Guinea,24,28,4,17
GNB,Guinea-Bissau,25,16,-9,-36
GUY,Guyana,28,37,9,32
HTI,Haiti,19,20,1,5
HND,Honduras,28,29,1,4
HKG,Hong Kong,77,76,-1,-1
HUN,Hungary,55,46,-9,-16
ISL,Iceland,82,76,-6,-7
IND,India,36,41,5,14
IDN,Indonesia,32,38,6,19
IRN,Iran,28,28,0,0
IRQ,Iraq,18,18,0,0
IRL,Ireland,69,73,4,6
ISR,Israel,60,61,1,2
ITA,Italy,42,52,10,24
JAM,Jamaica,38,44,6,16
JPN,Japan,74,73,-1,-1
JOR,Jordan,48,49,1,2
KAZ,Kazakhstan,28,31,3,11
KEN,Kenya,27,27,0,0
XKX,Kosovo,34,37,3,9
KWT,Kuwait,44,41,-3,-7
KGZ,Kyrgyzstan,24,29,5,21
LAO,Laos,21,29,8,38
LVA,Latvia,49,58,9,18
LBN,Lebanon,30,28,-2,-7
LSO,Lesotho,45,41,-4,-9
LBR,Liberia,41,32,-9,-22
LBY,Libya,21,17,-4,-19
LTU,Lithuania,54,59,5,9
LUX,Luxembourg,80,81,1,1
MDG,Madagascar,32,25,-7,-22
MWI,Malawi,37,32,-5,-14
MYS,Malaysia,49,47,-2,-4
MDV,Maldives,36,31,-5,-14
MLI,Mali,34,32,-2,-6
MLT,Malta,57,54,-3,-5
MRT,Mauritania,31,27,-4,-13
MUS,Mauritius,57,51,-6,-11
MEX,Mexico,34,28,-6,-18
MDA,Moldova,36,33,-3,-8
MNG,Mongolia,36,37,1,3
MNE,Montenegro,41,45,4,10
MAR,Morocco,37,43,6,16
MOZ,Mozambique,31,23,-8,-26
MMR,Myanmar,15,29,14,93
NAM,Namibia,48,53,5,10
NPL,Nepal,27,31,4,15
NLD,Netherlands,84,82,-2,-2
NZL,New Zealand,90,87,-3,-3
NIC,Nicaragua,29,25,-4,-14
NER,Niger,33,34,1,3
NGA,Nigeria,27,27,0,0
PRK,North Korea,8,14,6,75
MKD,North Macedonia,43,37,-6,-14
NOR,Norway,85,84,-1,-1
OMN,Oman,47,52,5,11
PAK,Pakistan,27,33,6,22
PAN,Panama,38,37,-1,-3
PNG,Papua New Guinea,25,28,3,12
PRY,Paraguay,25,29,4,16
PER,Peru,38,35,-3,-8
PHL,Philippines,34,36,2,6
POL,Poland,58,60,2,3
PRT,Portugal,63,64,1,2
QAT,Qatar,68,62,-6,-9
ROU,Romania,44,47,3,7
RUS,Russia,28,28,0,0
RWA,Rwanda,53,56,3,6
